GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons CLI,org.apache.commons.cli,PatternOptionBuilder,5,163,1,43,2,49,2,29,1,4
Apache Commons CLI,org.apache.commons.cli,UnrecognizedOptionException,14,0,0,0,6,0,3,0,3,0
Apache Commons CLI,org.apache.commons.cli,PosixParser,87,247,18,34,19,50,15,18,0,7
Apache Commons CLI,org.apache.commons.cli,AmbiguousOptionException,61,0,4,0,16,0,5,0,3,0
Apache Commons CLI,org.apache.commons.cli,MissingArgumentException,0,22,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,CommandLine.Builder,0,23,0,0,0,7,0,4,0,4
Apache Commons CLI,org.apache.commons.cli,BasicParser,5,0,0,0,2,0,2,0,2,0
Apache Commons CLI,org.apache.commons.cli,HelpFormatter,46,902,9,113,11,201,13,90,4,38
Apache Commons CLI,org.apache.commons.cli,CommandLine,0,282,1,31,0,59,1,35,0,20
Apache Commons CLI,org.apache.commons.cli,Option.Builder,5,92,0,6,2,30,1,17,1,14
Apache Commons CLI,org.apache.commons.cli,GnuParser,32,113,3,17,5,23,3,9,0,2
Apache Commons CLI,org.apache.commons.cli,DefaultParser,470,419,98,66,100,93,71,35,5,19
Apache Commons CLI,org.apache.commons.cli,AlreadySelectedException,0,35,0,0,0,9,0,4,0,4
Apache Commons CLI,org.apache.commons.cli,ParseException,0,4,0,0,0,2,0,1,0,1
Apache Commons CLI,org.apache.commons.cli,Options,26,273,0,22,6,57,2,27,2,16
Apache Commons CLI,org.apache.commons.cli,OptionValidator,3,84,0,16,1,13,1,11,1,3
Apache Commons CLI,org.apache.commons.cli,Option,78,484,22,60,15,114,20,69,3,45
Apache Commons CLI,org.apache.commons.cli,MissingOptionException,0,56,0,6,0,15,0,7,0,4
Apache Commons CLI,org.apache.commons.cli,OptionBuilder,8,146,0,4,3,63,2,22,2,20
Apache Commons CLI,org.apache.commons.cli,OptionGroup,0,130,2,12,0,35,2,14,0,9
Apache Commons CLI,org.apache.commons.cli,Parser,53,345,20,56,12,94,15,36,0,13
Apache Commons CLI,org.apache.commons.cli,TypeHandler,11,156,1,19,4,38,2,18,1,9
Apache Commons CLI,org.apache.commons.cli,HelpFormatter.OptionComparator,0,9,0,0,0,2,0,2,0,2
Apache Commons CLI,org.apache.commons.cli,Util,3,59,0,14,1,11,1,9,1,2
